자재명,단위,현재단가,공시일자,자재분류,품목분류,부가세여부,시황성자재
흑엘보 (용접 S#40) D32,개,1280.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D40,개,1620.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D50,개,2390.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D65,개,4420.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D80,개,6390.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D100,개,10900.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
"금속문, 철재일반도아(방청1회)문틀포함 100*45*t1.6, 1.8*2.1, 양개",㎡,122200.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재일반도아(방청1회)문틀포함 150*45*t1.6, 0.9*2.1, 편개",㎡,136500.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재일반도아(방청1회)문틀포함 150*45*t1.6, 1.8*2.1, 양개",㎡,135700.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
백엘보 (용접 S#40) D25,개,1270.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D20,개,1100.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접 S#40) D15,개,990.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접) D350,개,239760.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
백엘보 (용접) D300,개,155800.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 150kg",조,415000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 300kg",조,400000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 400kg",조,450000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 500kg",조,500000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 600kg",조,550000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 800kg",조,750000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 1000kg",조,800000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 1200kg",조,1300000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 1500kg",조,1700000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"셔터개폐기, 셔터용전동개폐기(220-380V), 100kg",조,381000.0,2026-04-20 00:00:00,시설공통자재(건축),셔터개폐기,부가가치세별도,True
"화장지걸이, 스테인리스강",개,8500.0,2026-04-20 00:00:00,시설공통자재(기계설비),화장지걸이,부가가치세별도,False
흑엘보 (용접) D400,개,225640.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
백엘보 (용접) D400,개,330590.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D50,개,2310.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D65,개,3400.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D80,개,4510.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D100,개,8000.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D125,개,13280.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D150,개,18980.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D200,개,38540.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D250,개,68600.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D300,개,103980.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
흑엘보 (용접) D350,개,161490.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
"금속문, 철재일반도아(일반분체)문틀포함 100*45*t1.6, 0.9*2.1, 편개",㎡,161900.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재일반도아(일반분체)문틀포함 150*45*t1.6, 0.9*2.1, 편개",㎡,178600.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"절연, Φ100mm",개,1980.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"금속문, 철재일반도아(일반분체)문틀포함 150*45*t1.6, 1.8*2.1, 양개",㎡,169800.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
흑엘보 (용접 S#40) D350,개,261050.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D400,개,378340.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접) D65,개,8460.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
백티이 (용접) D80,개,10170.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접) D100,개,17260.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접) D125,개,25870.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접) D150,개,34010.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접) D200,개,64950.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접) D250,개,119680.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접) D300,개,185280.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
"절연, Φ15mm",개,670.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"절연, Φ25mm",개,820.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"절연, Φ20mm",개,730.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ125mm",개,810.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ100mm",개,660.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ80mm",개,540.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ65mm",개,480.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ50mm",개,430.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ40mm",개,380.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ32mm",개,360.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ25mm",개,340.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ20mm",개,290.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"비절연, Φ15mm",개,270.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
"절연, Φ200mm",개,3070.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,False
"절연, Φ150mm",개,2430.0,2026-04-20 00:00:00,시설공통자재(기계설비),U볼트,부가가치세별도,True
흑엘보 (용접 S#40) D300,개,165920.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D250,개,99980.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑엘보 (용접 S#40) D200,개,56410.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
"금속문, 철재후라쉬도아(일반분체)문틀포함 100*45*t1.6, 1.8*2.1, 양개",㎡,187200.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재일반도아(함마톤분체)문틀포함 100*45*t1.6, 0.9*2.1, 편개",㎡,169800.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재일반도아(함마톤분체)문틀포함 100*45*t1.6, 1.8*2.1, 양개",㎡,160700.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재일반도아(함마톤분체)문틀포함 150*45*t1.6, 0.9*2.1, 편개",㎡,188100.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재일반도아(함마톤분체)문틀포함 150*45*t1.6, 1.8*2.1, 양개",㎡,177000.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(방청1회)문틀포함 100*45*t1.6, 0.9*2.1, 편개",㎡,190800.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(방청1회)문틀포함 100*45*t1.6, 1.8*2.1, 양개",㎡,182700.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(방청1회)문틀포함 150*45*t1.6, 0.9*2.1, 편개",㎡,200700.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(방청1회)문틀포함 150*45*t1.6, 1.8*2.1, 양개",㎡,189900.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(방청1회)문틀포함 240*45*t1.6, 0.9*2.1, 편개",㎡,216900.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(방청1회)문틀포함 240*45*t1.6, 1.8*2.1, 양개",㎡,205200.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(일반분체)문틀포함 100*45*t1.6, 0.9*2.1, 편개",㎡,195300.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(일반분체)문틀포함 150*45*t1.6, 0.9*2.1, 편개",㎡,205200.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
흑엘보 (용접 S#40) D150,개,28770.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
"금속문, 철재후라쉬도아(일반분체)문틀포함 150*45*t1.6, 1.8*2.1, 양개",㎡,194400.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(일반분체)문틀포함 240*45*t1.6, 0.9*2.1, 편개",㎡,221400.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(일반분체)문틀포함 240*45*t1.6, 1.8*2.1, 양개",㎡,209700.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(함마톤)문틀포함 100*45*t1.6, 0.9*2.1, 편개",㎡,199800.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(함마톤)문틀포함 100*45*t1.6, 1.8*2.1, 양개",㎡,191700.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(함마톤)문틀포함 150*45*t1.6, 0.9*2.1, 편개",㎡,209700.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(함마톤)문틀포함 150*45*t1.6, 1.8*2.1, 양개",㎡,198900.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(함마톤)문틀포함 240*45*t1.6, 0.9*2.1, 편개",㎡,225900.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재후라쉬도아(함마톤)문틀포함 240*45*t1.6, 1.8*2.1, 양개",㎡,214200.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
"금속문, 철재일반도아(방청1회)문틀포함 100*45*t1.6, 0.9*2.1, 편개",㎡,122200.0,2026-04-20 00:00:00,시설공통자재(건축),금속문,부가가치세별도,True
흑엘보 (용접 S#40) D125,개,20010.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
"수건걸이, 스테인리스강",개,17000.0,2026-04-20 00:00:00,시설공통자재(기계설비),수건걸이,부가가치세별도,True
백엘보 (용접) D250,개,103000.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
백엘보 (용접) D200,개,58010.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
"비누대, 스테인리스강",개,5950.0,2026-04-20 00:00:00,시설공통자재(기계설비),비누대,부가가치세별도,False
"점검구문, 450*450mm, 알루미늄, 백색, 점검구",조,6200.0,2026-04-20 00:00:00,시설공통자재(건축),점검구문,부가가치세별도,True
"점검구문, 600*600mm, 알루미늄, 백색, 점검구",조,7700.0,2026-04-20 00:00:00,시설공통자재(건축),점검구문,부가가치세별도,True
"점검구문, 450*450mm, 아연도강판, 점검구",조,27000.0,2026-04-20 00:00:00,시설공통자재(건축),점검구문,부가가치세별도,True
"점검구문, 400*400mm, 스테인리스, 점검구",조,43000.0,2026-04-20 00:00:00,시설공통자재(건축),점검구문,부가가치세별도,True
"점검구문, 300*300mm, 알루미늄, 백색, 점검구",조,5700.0,2026-04-20 00:00:00,시설공통자재(건축),점검구문,부가가치세별도,True
흑티이 (용접) D125,개,18630.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑티이 (용접) D150,개,23830.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑티이 (용접) D200,개,45700.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑티이 (용접) D250,개,85610.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑티이 (용접) D300,개,133830.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D15,개,1800.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D20,개,2030.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D25,개,2550.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D32,개,3390.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D40,개,4240.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D50,개,5680.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D65,개,10740.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D80,개,14830.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D100,개,24620.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D125,개,38240.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D150,개,53320.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D200,개,97780.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D250,개,180940.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D300,개,286950.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백티이 (용접 S#40) D350,개,366510.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑티이 (용접) D100,개,12350.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑티이 (용접) D80,개,7240.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑티이 (용접) D65,개,6130.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
"10kg/100l, 100L",대,340000.0,2026-04-20 00:00:00,시설공통자재(기계설비),압력탱크,부가가치세별도,False
"10kg/200l, 200L",대,703120.0,2026-04-20 00:00:00,시설공통자재(기계설비),압력탱크,부가가치세별도,False
"도어클로저, K-630, KS3호, 표준형, 40∼60kg",조,45000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-820, KS2호, 고급형, 25∼45kg",조,67000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-830, KS3호, 고급형, 40∼65kg",조,72000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"저압3상, 고효율, 4P, 3HP",대,556440.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 75HP",대,10474210.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 60HP",대,8008420.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 50HP",대,5592140.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 40HP",대,5045830.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 30HP",대,3392830.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 25HP",대,2956940.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 20HP",대,2168720.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 15HP",대,1619910.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 10HP",대,1178680.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 7.5HP",대,997430.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 5HP",대,653150.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 2HP",대,441960.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 125HP",대,15726100.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 1HP",대,398320.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
흑티이 (용접 S#40) D100,개,17870.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
흑티이 (용접 S#40) D125,개,27660.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
3.2t*914*1829,kg,787.0,2026-04-20 00:00:00,시설공통자재(기계설비),열연강판,부가가치세별도,True
흑티이 (용접 S#40) D150,개,38210.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
백엘보 (용접) D65,개,5020.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
백엘보 (용접) D80,개,6720.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
백엘보 (용접) D100,개,11980.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
백엘보 (용접) D125,개,19580.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
백엘보 (용접) D150,개,28580.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,True
"저압3상, 고효율, 4P, 100HP",대,14587490.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"저압3상, 고효율, 4P, 150HP",대,19251640.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
"도어클로저, K-840, KS4호, 고급형, 60∼85kg",조,78000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-2850, KS5호, 고급방화, 80∼120kg",조,105000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-850, KS5호, 고급형, 80∼120kg",조,83000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-1620, KS2호, 중급스톱형, 25∼45kg",조,45000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-1630, KS3호, 중급스톱형, 40∼65kg",조,50000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-1820, KS2호, 고급스톱형, 25∼45kg",조,72000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-1830, KS3호, 고급스톱형, 40∼65kg",조,78000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-1840, KS4호, 고급스톱형, 60∼85kg",조,83000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-1850, KS5호, 고급스톱형, 80∼120kg",조,89000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-2630, KS3호, 상급방화, 40∼65kg",조,67000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-2820, KS2호, 고급방화, 25∼45kg",조,89000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-2830, KS3호, 고급방화, 40∼65kg",조,94000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-2840, KS4호, 고급방화, 60∼85kg",조,100000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"도어클로저, K-620, KS2호, 표준형, 25∼45kg",조,39000.0,2026-04-20 00:00:00,시설공통자재(건축),도어클로저,부가가치세별도,True
"저압3상, 고효율, 4P, 200HP",대,25939680.0,2026-04-20 00:00:00,시설공통자재(기계설비),삼상농형유도전동기,부가가치세별도,True
백티이 (용접 S#40) D400,개,596510.0,2026-04-20 00:00:00,시설공통자재(기계설비),용접식 관이음쇠,부가가치세별도,False
