prceNticeNo,nticeDt,bsnsDivCd,bsnsDivNm,prdctClsfcNo,prdctIdntNo,invstDeptNm,invstDeptTelNo,invstOfclNm,prdctClsfcNoNm,krnPrdctNm,unit,prce,cntrctCorpNm,cntrctCorpTelNo,splyJrsdctRgnNm,etcCntnts,mtrlcst,lbrcst,gnrlexpns,prodctFld,vatYnNm,prceDiv,dlvryCndtnNm,distbStep,payCndtn,treekndNo,specThtLen,specWtrtbBtLen,specWtrtbLen,specBhtDmLen,specRootDmLen
R26CW25851879,2026-04-20 00:00:00,포110005,시설공통자재(토목),20111604,20590629,공사원가기준과,070-4056-7132,조은지,크롤러 슬리브,"크롤러형천공기, (부품)크롤러슬리브, 38×38mm",EA,48670,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25851882,2026-04-20 00:00:00,포110005,시설공통자재(토목),20111604,20590632,공사원가기준과,070-4056-7132,조은지,크롤러비트,"크롤러형천공기, (부품)크롤러비트, 38×64mm",EA,121220,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R24CW21374825,2024-10-16 14:14:21,포110005,시설공통자재(토목),20111693,20590635,공사원가기준과,070-4056-7308,남효성,점보로드,"점보드릴, (부품)점보로드, R38×R32×14mm",EA,448000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374827,2024-10-16 14:14:21,포110005,시설공통자재(토목),20111693,20590633,공사원가기준과,070-4056-7308,남효성,점보슬리브,"점보드릴, (부품)점보슬리브, R38",EA,61000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374826,2024-10-16 14:14:21,포110005,시설공통자재(토목),20111693,20590634,공사원가기준과,070-4056-7308,남효성,점보샹크,"점보드릴, (부품)점보섕크, R38(COP)mm",EA,255000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374824,2024-10-16 14:14:21,포110005,시설공통자재(토목),20111693,20590636,공사원가기준과,070-4056-7308,남효성,점보비트(버튼),"점보드릴, (부품)점보비트, R32×45mm",EA,97000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R25CW23002304,2025-04-24 00:00:00,포110005,시설공통자재(토목),20111693,20590633,공사원가기준과,070-4056-7384,전시영,점보슬리브,"점보드릴, (부품)점보슬리브, R38",EA,61000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002307,2025-04-24 00:00:00,포110005,시설공통자재(토목),20111693,20590636,공사원가기준과,070-4056-7384,전시영,점보비트(버튼),"점보드릴, (부품)점보비트, R32×45mm",EA,97000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002306,2025-04-24 00:00:00,포110005,시설공통자재(토목),20111693,20590635,공사원가기준과,070-4056-7384,전시영,점보로드,"점보드릴, (부품)점보로드, R38×R32×14mm",EA,448000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002305,2025-04-24 00:00:00,포110005,시설공통자재(토목),20111693,20590634,공사원가기준과,070-4056-7384,전시영,점보샹크,"점보드릴, (부품)점보섕크, R38(COP)mm",EA,255000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311772,2025-10-23 00:00:00,포110005,시설공통자재(토목),20111693,20590633,공사원가기준과,070-4056-7384,전시영,점보슬리브,"점보드릴, (부품)점보슬리브, R38",EA,55800,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311775,2025-10-23 00:00:00,포110005,시설공통자재(토목),20111693,20590636,공사원가기준과,070-4056-7384,전시영,점보비트(버튼),"점보드릴, (부품)점보비트, R32×45mm",EA,83700,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311774,2025-10-23 00:00:00,포110005,시설공통자재(토목),20111693,20590635,공사원가기준과,070-4056-7384,전시영,점보로드,"점보드릴, (부품)점보로드, R38×R32×14mm",EA,460800,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311773,2025-10-23 00:00:00,포110005,시설공통자재(토목),20111693,20590634,공사원가기준과,070-4056-7384,전시영,점보샹크,"점보드릴, (부품)점보섕크, R38(COP)mm",EA,252000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25851883,2026-04-20 00:00:00,포110005,시설공통자재(토목),20111693,20590633,공사원가기준과,070-4056-7132,조은지,점보슬리브,"점보드릴, (부품)점보슬리브, R38",EA,56930,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25851886,2026-04-20 00:00:00,포110005,시설공통자재(토목),20111693,20590636,공사원가기준과,070-4056-7132,조은지,점보비트(버튼),"점보드릴, (부품)점보비트, R32×45mm",EA,85400,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25851885,2026-04-20 00:00:00,포110005,시설공통자재(토목),20111693,20590635,공사원가기준과,070-4056-7132,조은지,점보로드,"점보드릴, (부품)점보로드, R38×R32×14mm",EA,470190,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25851884,2026-04-20 00:00:00,포110005,시설공통자재(토목),20111693,20590634,공사원가기준과,070-4056-7132,조은지,점보샹크,"점보드릴, (부품)점보섕크, R38(COP)mm",EA,257140,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R24CW21374697,2024-10-16 14:14:21,포110005,시설공통자재(토목),30102215,10030790,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 150×5mm",M,2600,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374701,2024-10-16 14:14:21,포110005,시설공통자재(토목),30102215,10030792,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 230×5mm",M,3600,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374703,2024-10-16 14:14:21,포110005,시설공통자재(토목),30102215,10030793,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 230×9.5mm",M,6700,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374705,2024-10-16 14:14:21,포110005,시설공통자재(토목),30102215,22146286,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 300×9.5mm",M,8000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R24CW21374699,2024-10-16 14:14:21,포110005,시설공통자재(토목),30102215,10030791,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 200×5mm",M,3000,,,002,,,,,,부가가치세별도,기타가격,현장도착도,기타조건,,,,,,,
R25CW23002420,2025-04-24 00:00:00,포110005,시설공통자재(토목),30102215,22146286,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 300×9.5mm",M,8000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002424,2025-04-24 00:00:00,포110005,시설공통자재(토목),30102215,10030790,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 150×5mm",M,2600,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002423,2025-04-24 00:00:00,포110005,시설공통자재(토목),30102215,10030791,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 200×5mm",M,3000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002422,2025-04-24 00:00:00,포110005,시설공통자재(토목),30102215,10030792,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 230×5mm",M,3600,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW23002421,2025-04-24 00:00:00,포110005,시설공통자재(토목),30102215,10030793,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 230×9.5mm",M,6700,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311888,2025-10-23 00:00:00,포110005,시설공통자재(토목),30102215,22146286,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 300×9.5mm",M,8170,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311892,2025-10-23 00:00:00,포110005,시설공통자재(토목),30102215,10030790,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 150×5mm",M,2650,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311891,2025-10-23 00:00:00,포110005,시설공통자재(토목),30102215,10030791,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 200×5mm",M,3060,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311890,2025-10-23 00:00:00,포110005,시설공통자재(토목),30102215,10030792,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 230×5mm",M,3670,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24311889,2025-10-23 00:00:00,포110005,시설공통자재(토목),30102215,10030793,공사원가기준과,070-4056-6464,유가영,PVC지수판,"폴리염화비닐지수판, 230×9.5mm",M,6840,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25851998,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102215,22146286,공사원가기준과,070-4056-7308,황재현,PVC지수판,"폴리염화비닐지수판, 300×9.5mm",M,8170,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852002,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102215,10030790,공사원가기준과,070-4056-7308,황재현,PVC지수판,"폴리염화비닐지수판, 150×5mm",M,2650,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852001,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102215,10030791,공사원가기준과,070-4056-7308,황재현,PVC지수판,"폴리염화비닐지수판, 200×5mm",M,3060,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852000,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102215,10030792,공사원가기준과,070-4056-7308,황재현,PVC지수판,"폴리염화비닐지수판, 230×5mm",M,3670,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25851999,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102215,10030793,공사원가기준과,070-4056-7308,황재현,PVC지수판,"폴리염화비닐지수판, 230×9.5mm",M,6840,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852011,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227563,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 5000×400×65mm",본,143500,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852058,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227650,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, B타입, 8000×400×65mm",본,285200,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852057,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227649,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, B타입, 7000×400×65mm",본,261400,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852056,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227648,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, B타입, 6000×400×65mm",본,225500,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852055,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227647,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, B타입, 5000×400×65mm",본,187700,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852054,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227646,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 15000×600×90mm",본,906300,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852053,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227645,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 14000×600×90mm",본,845500,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852052,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227644,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 13000×600×90mm",본,785700,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852051,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227643,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 12000×600×90mm",본,724900,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852050,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227642,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 11000×600×90mm",본,664100,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852049,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227641,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 10000×600×90mm",본,604200,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852048,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227640,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 9000×600×90mm",본,543400,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852047,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227639,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 8000×600×90mm",본,483600,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852046,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227638,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 7000×600×90mm",본,422800,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852045,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227637,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 6000×600×90mm",본,362000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852044,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227636,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 5000×600×90mm",본,302100,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852043,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227601,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 15000×500×80mm",본,661200,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852042,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227600,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 14000×500×80mm",본,617500,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852041,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227599,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 13000×500×80mm",본,572900,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852040,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227598,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 12000×500×80mm",본,529200,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852039,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227597,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 11000×500×80mm",본,484500,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852038,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227596,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 10000×500×80mm",본,440800,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852037,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227595,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 9000×500×80mm",본,397100,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852036,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227594,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 8000×500×80mm",본,352500,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852035,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227593,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 7000×500×80mm",본,308800,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852034,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227592,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 6000×500×80mm",본,264100,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852033,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227591,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 5000×500×80mm",본,220400,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852032,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227590,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 15000×450×70mm",본,523500,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852031,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227589,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 14000×450×70mm",본,488300,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852030,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227588,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 13000×450×70mm",본,453200,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852029,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227587,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 12000×450×70mm",본,419000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852028,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227586,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 11000×450×70mm",본,383800,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852027,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227585,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 10000×450×70mm",본,348700,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852026,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227584,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 9000×450×70mm",본,314500,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852025,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227583,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 8000×450×70mm",본,279300,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852024,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227582,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 7000×450×70mm",본,244200,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852023,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227581,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 6000×450×70mm",본,209000,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852022,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227580,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 5000×450×70mm",본,174800,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852021,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227579,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 15000×400×65mm",본,431300,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852020,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227578,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 14000×400×65mm",본,401900,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852019,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227577,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 13000×400×65mm",본,373400,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852018,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227576,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 12000×400×65mm",본,344900,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852017,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227575,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 11000×400×65mm",본,316400,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852016,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227574,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 10000×400×65mm",본,286900,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R26CW25852015,2026-04-20 00:00:00,포110005,시설공통자재(토목),30102802,26227567,공사원가기준과,070-4056-7400,김준석,콘크리트파일,"콘크리트파일, A타입, 9000×400×65mm",본,258400,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
