prceNticeNo,nticeDt,bsnsDivCd,bsnsDivNm,prdctClsfcNo,prdctIdntNo,invstDeptNm,invstDeptTelNo,invstOfclNm,prdctClsfcNoNm,krnPrdctNm,unit,prce,cntrctCorpNm,cntrctCorpTelNo,splyJrsdctRgnNm,etcCntnts,mtrlcst,lbrcst,gnrlexpns,prodctFld,vatYnNm,prceDiv,dlvryCndtnNm,distbStep,payCndtn,treekndNo,specThtLen,specWtrtbBtLen,specWtrtbLen,specBhtDmLen,specRootDmLen
R24CW21466440,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142414,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 7.5×1220×2440mm",매,21291,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466434,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142411,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 4.8×1220×2440mm",㎡,4316,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466428,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142410,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 2.7×1220×2440mm",매,10812,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466452,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142420,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 15×1220×2440mm",매,41469,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466450,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142419,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 15×1220×2440mm",㎡,13929,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466444,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142416,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 9.0×1220×2440mm",매,25364,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466442,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142415,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 9.0×1220×2440mm",㎡,8518,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466426,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142409,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 2.7×1220×2440mm",㎡,3632,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466448,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142418,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 12×1220×2440mm",매,30878,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466438,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142413,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 7.5×1220×2440mm",㎡,7152,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466436,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20142412,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 1급, 4.8×1220×2440mm",매,12858,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21466432,2024-10-30 16:58:14,포110002,시설공통자재(건축),11122001,20935462,건축설비과,042-724-7109,이상대,보통합판,"보통합판, 보통합판, 1급, 3.6×1220×2440mm",매,12046,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21468748,2024-10-30 17:03:07,포110002,시설공통자재(건축),11122001,20142448,건축설비과,042-724-7109,이상대,치장합판,"치장합판, 태고, 양면, 18×1220×2440mm",매,56249,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21468738,2024-10-30 17:03:07,포110002,시설공통자재(건축),11122001,20142443,건축설비과,042-724-7109,이상대,치장합판,"치장합판, 태고, 양면, 12×1220×2440mm",㎡,12385,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21468742,2024-10-30 17:03:07,포110002,시설공통자재(건축),11122001,20142445,건축설비과,042-724-7109,이상대,치장합판,"치장합판, 태고, 양면, 15×1220×2440mm",㎡,15624,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21468746,2024-10-30 17:03:07,포110002,시설공통자재(건축),11122001,20142447,건축설비과,042-724-7109,이상대,치장합판,"치장합판, 태고, 양면, 18×1220×2440mm",㎡,18896,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21468740,2024-10-30 17:03:07,포110002,시설공통자재(건축),11122001,20142444,건축설비과,042-724-7109,이상대,치장합판,"치장합판, 태고, 양면, 12×1220×2440mm",매,36869,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R24CW21468744,2024-10-30 17:03:07,포110002,시설공통자재(건축),11122001,20142446,건축설비과,042-724-7109,이상대,치장합판,"치장합판, 태고, 양면, 15×1220×2440mm",매,46509,,,002,,,,,,부가가치세별도,기타가격,현장도착도,수요자지정장소도,,,,,,,
R25CW24303305,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142452,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 12*910*1820mm",㎡,12485,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906910,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142461,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 15*1220*2440mm",매,44134,,,,흑관,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906909,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142460,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 15*1220*2440mm",㎡,14825,,,,흑관,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906908,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142459,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 12*1220*2440mm",매,32543,,,,흑관,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906907,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142458,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 12*1220*2440mm",㎡,10931,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906906,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142457,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 18*910*1820mm",매,30982,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906905,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142456,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 18*910*1820mm",㎡,18707,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906904,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142455,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 15*910*1820mm",매,27862,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906903,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142454,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 15*910*1820mm",㎡,16822,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906902,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142453,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 12*910*1820mm",매,20060,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22906901,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142452,건축설비과,042-724-7109,박은자,내수합판,"내수합판, 1급, 12*910*1820mm",㎡,12111,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22908331,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142448,건축설비과,042-724-7109,박은자,치장합판,"치장합판, 태고, 양면, 18*1220*2440mm",매,56378,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22908330,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142447,건축설비과,042-724-7109,박은자,치장합판,"치장합판, 태고, 양면, 18*1220*2440mm",㎡,18939,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22908329,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142446,건축설비과,042-724-7109,박은자,치장합판,"치장합판, 태고, 양면, 15*1220*2440mm",매,46615,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22908328,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142445,건축설비과,042-724-7109,박은자,치장합판,"치장합판, 태고, 양면, 15*1220*2440mm",㎡,15659,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22908327,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142444,건축설비과,042-724-7109,박은자,치장합판,"치장합판, 태고, 양면, 12*1220*2440mm",매,36953,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22908326,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142443,건축설비과,042-724-7109,박은자,치장합판,"치장합판, 태고, 양면, 12*1220*2440mm",㎡,12413,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907106,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142422,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 18*1220*2440mm",매,51943,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907105,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142421,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 18*1220*2440mm",㎡,17449,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907104,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142420,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 15*1220*2440mm",매,41460,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907103,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142419,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 15*1220*2440mm",㎡,13926,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907102,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142418,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 12*1220*2440mm",매,30871,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907101,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142417,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 12*1220*2440mm",㎡,10370,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907100,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142416,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 9.0*1220*2440mm",매,25358,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907099,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142415,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 9.0*1220*2440mm",㎡,8516,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907098,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142414,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 7.5*1220*2440mm",매,21286,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907097,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142413,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 7.5*1220*2440mm",㎡,7150,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907096,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142412,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 4.8*1220*2440mm",매,12855,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907095,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142411,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 4.8*1220*2440mm",㎡,4315,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907094,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20935462,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 보통합판, 1급, 3.6*1220*2440mm",매,12043,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907093,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20935461,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 보통합판, 1급, 3.6mm",㎡,4044,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907092,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142410,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 2.7*1220*2440mm",매,10809,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW22907091,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142409,건축설비과,042-724-7109,박은자,보통합판,"보통합판, 1급, 2.7*1220*2440mm",㎡,3631,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303510,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142422,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 18*1220*2440mm",매,53548,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303509,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142421,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 18*1220*2440mm",㎡,17988,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303508,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142420,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 15*1220*2440mm",매,42741,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303507,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142419,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 15*1220*2440mm",㎡,14356,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303506,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142418,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 12*1220*2440mm",매,31824,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303505,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142417,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 12*1220*2440mm",㎡,10690,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303504,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142416,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 9.0*1220*2440mm",매,26141,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303503,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142415,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 9.0*1220*2440mm",㎡,8779,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303502,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142414,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 7.5*1220*2440mm",매,21943,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303501,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142413,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 7.5*1220*2440mm",㎡,7370,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303500,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142412,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 4.8*1220*2440mm",매,13252,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303499,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142411,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 4.8*1220*2440mm",㎡,4448,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303498,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20935462,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 보통합판, 1급, 3.6*1220*2440mm",매,12415,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303497,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20935461,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 보통합판, 1급, 3.6mm",㎡,4168,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303496,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142410,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 2.7*1220*2440mm",매,11142,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303495,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142409,공사원가기준과,042-724-7403,오종화,보통합판,"보통합판, 1급, 2.7*1220*2440mm",㎡,3743,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24304735,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142448,공사원가기준과,042-724-7403,오종화,치장합판,"치장합판, 태고, 양면, 18*1220*2440mm",매,58943,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24304734,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142447,공사원가기준과,042-724-7403,오종화,치장합판,"치장합판, 태고, 양면, 18*1220*2440mm",㎡,19800,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24304733,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142446,공사원가기준과,042-724-7403,오종화,치장합판,"치장합판, 태고, 양면, 15*1220*2440mm",매,48735,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24304732,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142445,공사원가기준과,042-724-7403,오종화,치장합판,"치장합판, 태고, 양면, 15*1220*2440mm",㎡,16371,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24304731,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142444,공사원가기준과,042-724-7403,오종화,치장합판,"치장합판, 태고, 양면, 12*1220*2440mm",매,38634,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24304730,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142443,공사원가기준과,042-724-7403,오종화,치장합판,"치장합판, 태고, 양면, 12*1220*2440mm",㎡,12977,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303316,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142463,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 18*1220*2440mm",매,54882,,,,흑관,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303315,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142462,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 18*1220*2440mm",㎡,18435,,,,흑관,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303314,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142461,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 15*1220*2440mm",매,45497,,,,흑관,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303313,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142460,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 15*1220*2440mm",㎡,15283,,,,흑관,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303312,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142459,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 12*1220*2440mm",매,33548,,,,흑관,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303311,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142458,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 12*1220*2440mm",㎡,11268,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303310,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142457,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 18*910*1820mm",매,31939,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303309,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142456,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 18*910*1820mm",㎡,19285,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303308,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142455,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 15*910*1820mm",매,28722,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303307,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142454,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 15*910*1820mm",㎡,17341,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
R25CW24303306,2025-04-24 00:00:00,포110002,시설공통자재(건축),11122001,20142453,공사원가기준과,042-724-7403,오종화,내수합판,"내수합판, 1급, 12*910*1820mm",매,20679,,,,,0,0,0,,부가가치세별도,기타가격,현장도착도,,,,,,,,
